#950 M-BGP deployment cases by Hurricane Electric (AS6939) identified before 20200510.
#Format: 
#border router|peeringASN,<neighbor address list by show ip bgp summary (separated by comma)>|prefix,<Next-hop list by show ip bgp route detail (separated by comma)>
dal1|199524,206.53.202.71,206.223.118.109|92.38.145.0/24,206.53.202.71,206.223.118.109
dal1|22822,206.53.202.46,206.223.118.123|69.28.143.0/24,206.53.202.46,206.223.118.123
dal1|23486,206.223.118.56,206.223.118.131|199.58.129.0/24,206.223.118.56,206.223.118.131
dal1|27471,206.223.118.77,206.223.118.78|98.158.243.0/24,206.223.118.78,206.223.118.77
dal1|29884,206.223.118.246,206.223.118.247|198.32.109.0/24,206.223.118.246,206.223.118.247
dal1|396253,206.223.118.22,206.223.118.47|136.228.228.0/24,206.223.118.47,206.223.118.22
dal1|41095,206.53.202.64,206.223.118.158|45.236.172.0/24,206.53.202.64,206.223.118.158
dal1|46450,206.53.202.37,206.223.118.104|104.225.247.0/24,206.53.202.37,206.223.118.104
dal1|46455,206.223.118.220,206.223.119.220|76.77.16.0/24,206.223.119.220,206.223.118.220
dal1|46489,206.223.118.163,206.223.118.193|192.108.239.0/24,206.223.118.193,206.223.118.163
dal1|47254,206.223.118.128,206.223.118.178|159.117.195.0/24,206.223.118.128,206.223.118.178
dal1|49544,206.53.202.26,206.223.118.228|185.179.200.0/24,206.53.202.26,206.223.118.228
dal1|54113,206.53.202.54,206.53.202.55,206.223.118.218,206.223.118.219|157.52.110.0/24,206.53.202.54,206.53.202.55
dal1|62,198.32.130.31,198.32.130.32|216.117.65.0/24,198.32.130.31,198.32.130.32
dal1|62955,206.53.202.32,206.223.118.93|8.42.123.0/24,206.53.202.32,206.223.118.93
dal1|714,206.223.118.161,206.223.118.215|17.84.198.0/24,206.223.118.161,206.223.118.215
dal1|8075,206.53.174.12,206.223.118.17,206.223.118.65|52.96.38.0/24,206.53.174.12,206.223.118.17,206.223.118.65
den1|10310,206.51.46.25,206.51.46.38,206.53.175.18|68.142.248.0/24,206.51.46.25,206.51.46.38,206.53.175.18
den1|13335,206.51.46.41,206.53.175.20|8.31.161.0/24,206.53.175.20,206.51.46.41
den1|14041,206.51.46.23,206.53.175.22|129.19.165.0/24,206.53.175.22,206.51.46.23
den1|22616,206.51.46.39,206.51.46.40|104.129.200.0/24,206.51.46.39,206.51.46.40
den1|36351,206.51.46.27,206.53.175.14|216.12.216.0/24,206.53.175.14,206.51.46.27
den1|46489,206.51.46.9,206.51.46.19|23.160.0.0/24,206.51.46.9,206.51.46.19
