#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ams1|62166,80.249.211.71
ams1|31638,80.249.211.74
ams1|12849,80.249.211.75
ams1|47172,80.249.211.78
ams1|200020,80.249.208.3,80.249.211.82
ams1|29141,80.249.211.87
ams1|45489,80.249.211.89
ams1|29119,80.249.211.91
ams1|56665,80.249.211.94
ams1|50673,80.249.210.70,80.249.211.95
ams1|8732,80.249.211.112
ams1|1764,80.249.211.123
ams1|33796,80.249.211.130
ams1|56396,80.249.211.135
ams1|28801,80.249.211.139
ams1|58073,80.249.211.146
ams1|45629,80.249.211.150
ams1|29697,80.249.211.151
ams1|8309,80.249.211.152
ams1|50245,80.249.211.153
ams1|61955,80.249.211.155
ams1|28876,80.249.208.187,80.249.211.156
ams1|57695,80.249.211.157
ams1|15720,80.249.211.159
ams1|59940,80.249.211.167
ams1|48200,80.249.211.172
ams1|41913,80.249.211.177
ams1|16839,80.249.211.180
ams1|714,80.249.211.160,80.249.211.183
ams1|50266,80.249.211.171,80.249.211.184
ams1|14413,80.249.211.185
ams1|39122,80.249.211.186
ams1|47764,80.249.211.188
ams1|2854,80.249.211.189
ams1|9498,80.249.211.191
ams1|9269,80.249.211.117,80.249.211.193
ams1|31019,80.249.211.199
ams1|13238,80.249.211.200
ams1|49375,80.249.211.202
ams1|25178,80.249.211.204
ams1|22822,80.249.209.133,80.249.211.209
ams1|2635,80.249.211.212
ams1|12883,80.249.211.215
ams1|34756,80.249.210.97,80.249.211.216
ams1|15943,80.249.211.221
ams1|27381,80.249.211.230
ams1|7713,80.249.211.240
ams1|59908,80.249.211.242
ams1|16080,80.249.211.248
ams1|50316,80.249.211.251
ams1|28929,80.249.211.252
ams1|6412,80.249.210.129,80.249.211.254
ams1|1241,80.249.210.140,80.249.211.255
ams1|19679,80.249.212.14
ams1|22363,80.249.212.22,80.249.212.23
ams1|27281,80.249.209.190,80.249.212.29
ams1|44981,80.249.212.30
ams1|42707,80.249.212.36
ams1|20473,80.249.212.38
ams1|199139,80.249.212.51
ams1|42947,80.249.212.52
ams1|45474,80.249.212.53
ams1|56704,80.249.212.60
ams1|63399,80.249.212.61
ams1|8403,80.249.212.62
ams1|39647,80.249.209.72,80.249.212.65
ams1|29405,80.249.212.66
ams1|13213,80.249.212.69
ams1|11179,80.249.212.73,80.249.212.74
ams1|38880,80.249.212.75
ams1|47626,80.249.212.77
ams1|41153,80.249.212.82
ams1|42541,80.249.212.84
ams1|40627,80.249.212.87
ams1|59701,80.249.212.98
ams1|48519,80.249.212.99
ams1|200023,80.249.212.103
ams1|58511,80.249.212.104
ams1|20559,80.249.212.107
ams1|42794,80.249.212.113
ams1|62955,80.249.212.124
ams1|9029,80.249.212.127
ams1|49463,80.249.212.142
ams1|39386,80.249.212.144,80.249.212.145
ams1|18106,80.249.212.146
ams1|63541,80.249.212.147
ams1|50352,80.249.212.149
